youtube_id,time_start,time_end,split
Ptf_2VRj-V0,000122,000132
CBL6uetTPHg,000089,000099
BiKRPPjAzvw,000017,000027
GwlcmI36imo,000127,000137
yCKjqYxQn0E,000261,000271
9eTXpQq9QTA,000126,000136
qqJisE6m6XI,000000,000010
bd6eUL9prjI,000102,000112
6IbvOJxXnOo,000047,000057
f2uK1SvWf5A,000005,000015
Ww61iwaFGrM,000059,000069
XaH22IFN81Y,000056,000066
y3-3i88mNPc,000008,000018
rseBvhN6dio,000003,000013
Zv09PB3YQAs,000010,000020
C0VVxIhDp9Q,000021,000031
0wR5jVB-WPk,000417,000427
6_4kjPiQr7w,000191,000201
O179fpfn1G4,000040,000050
hXtsZAaZ3yc,000044,000054
gGGlthnIB-4,000036,000046
IyNBDKyORFs,000243,000253
3yaoNwz99xM,000062,000072
p1VKQa4N-hg,000000,000010
yq_M1PMw2hY,000038,000048
__NrybzYzUg,000415,000425
YHCT_kezpfk,000063,000073
oMjg09l2zs0,000676,000686
e1fZt2rk89s,000016,000026
VHJGX13S_UY,000554,000564
eHkBHH59-Js,000115,000125
z9vSfUWX4pI,000052,000062
7pRfb0t34uo,000158,000168
ASFOR-PFsiM,000040,000050
BJ8ZBTYXyAE,000076,000086
YqTT34PsD5c,000003,000013
bjtnAh_wz1c,000002,000012
UFRaLM26S24,000016,000026
YgzCJmncmUA,000027,000037
bFdTLPL8TTM,000169,000179
_aQSjArgAqA,000123,000133
EDgbHrT9H0U,000065,000075
eA6KqKuVj-I,000022,000032
xjhF2VEkh0E,000210,000220
_Wp_B81Cmrk,000027,000037
SIsUKup2CqA,000059,000069
dyPLsNVxKVE,000026,000036
MDnmHCi1MVc,000023,000033
yZEECZMPoDc,000130,000140
UqdItDfdm4s,000018,000028
4CU7O9qPBd0,000180,000190
6XqpNzte3EU,000219,000229
lJt4kfs38mE,000000,000010
CYPOWMwa4EE,000238,000248
M_jaJM5cs14,000116,000126
dJ7grQeSC9k,000114,000124
fUlV0drHowo,000164,000174
PEP-h_OgDXk,000004,000014
lKWJ_gP9ZnQ,000116,000126
L9GxK3fD-1w,000056,000066
x7IRJ7cUJYk,000038,000048
DnPRSNeH3k8,000100,000110
iBdfz_9edSc,000044,000054
